show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2059,TV Show,Hellbound S2,Wes Anderson,"Allu Arjun, Park Seo-jun, Ranbir Kapoor, Deepika Padukone, Priyanka Chopra",India,2019-04-11,2000,TV-MA,7 Seasons,"Kids' TV, Stand-Up Comedy","Love, loss, and the power of human connection in trying times."
s2060,Movie,Desert Rose,S.S. Rajamouli,"Lee Min-ho, Rajinikanth, Priyanka Chopra",France,2020-08-13,2011,PG-13,78 min,"Stand-Up Comedy, Thrillers",An extraordinary journey through time and space that will change everything you know.
s2061,Movie,The Secret Garden,Ram Gopal Varma,"Aamir Khan, Chris Evans",India,2017-06-18,2007,TV-MA,115 min,"Sports Movies, Stand-Up Comedy",A comedian's rise to fame is complicated by dark secrets from the past.
s2062,Movie,Midnight Run,Patty Jenkins,"Tom Hanks, Scarlett Johansson, Song Kang-ho",Egypt,2020-08-23,2013,R,76 min,"Stand-Up Comedy, Action & Adventure, Animated Movies",An estranged father and daughter reconnect on an unexpected road trip.
s2063,Movie,Love in Paris,Imtiaz Ali,"Jennifer Lawrence, Tom Hanks",United States,2015-06-11,2021,TV-Y7,111 min,Dramas,An estranged father and daughter reconnect on an unexpected road trip.
s2064,TV Show,Call My Agent,Peter Jackson,"Rajinikanth, Kangana Ranaut",Brazil,2016-02-22,2021,NC-17,5 Seasons,"TV Thrillers, Spirituality, Nature & Science TV","Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s2065,Movie,Beyond the Stars,Tim Burton,"Kangana Ranaut, Salman Khan, Deepika Padukone",India,2016-03-02,2005,R,76 min,Romantic Movies,"In the shadows of a corrupt government, a resistance movement fights for freedom."
s2066,Movie,The Experiment,Ryan Coogler,"Leonardo DiCaprio, Lee Min-ho",United States,2020-04-18,2017,TV-14,136 min,Dramas,"In a small town, everyone has something to hide â and someone is watching."
s2067,Movie,Fatal Attraction,J.J. Abrams,"Rajinikanth, Cate Blanchett",Nigeria,2018-07-08,2008,TV-MA,172 min,Action & Adventure,"In a small town, everyone has something to hide â and someone is watching."
s2068,Movie,Eternal Flame,Ridley Scott,"Jennifer Lawrence, Leonardo DiCaprio, Ajith",Nigeria,2018-05-16,2008,PG-13,174 min,"Animated Movies, Children & Family Movies",A gripping tale of survival and redemption in a world gone mad.
s2069,Movie,Blue Moon 3,Imtiaz Ali,"Rajinikanth, Ranbir Kapoor, Kangana Ranaut",Thailand,2018-04-15,2019,TV-MA,111 min,"Dramas, Classic Movies, Music & Musicals","When old enemies become allies, the fate of the world hangs in the balance."
s2070,Movie,Edge of Tomorrow,Bong Joon-ho,"Ranveer Singh, Natalie Portman, Allu Arjun, Salman Khan, Jennifer Lawrence",Colombia,2017-07-27,2019,PG-13,171 min,"Sports Movies, Sci-Fi & Fantasy, Dramas",A young woman discovers her true identity and must choose between two worlds.
s2071,Movie,All of Us Are Dead,Bong Joon-ho,"Tom Hanks, Kangana Ranaut, Brad Pitt",United States,2016-11-13,2018,TV-14,178 min,"Independent Movies, Children & Family Movies, Faith & Spirituality","Crime, politics, and power intertwine in this explosive thriller."
s2072,TV Show,Shtisel S4 S2,Steven Spielberg,"Jung Ho-yeon, Priyanka Chopra, Vidya Balan",Nigeria,2016-04-22,2020,TV-14,6 Seasons,British TV Shows,"Crime, politics, and power intertwine in this explosive thriller."
s2073,TV Show,Ghoul Season 2,Unknown,"Tom Hanks, Meryl Streep, Ranbir Kapoor, Vijay, Alia Bhatt",Nigeria,2015-07-22,2002,PG-13,4 Seasons,"Korean TV Shows, TV Thrillers",A young woman discovers her true identity and must choose between two worlds.
s2074,TV Show,La Casa de Papel S6,S.S. Rajamouli,"Chris Evans, Vidya Balan, Robert Downey Jr, Allu Arjun",China,2017-11-25,2014,TV-14,6 Seasons,"TV Horror, Stand-Up Comedy, TV Thrillers","Crime, politics, and power intertwine in this explosive thriller."
s2075,Movie,The Last Stand 4,Ridley Scott,"Lee Min-ho, Robert Downey Jr, Prabhas",Turkey,2020-07-09,2020,R,147 min,"Romantic Movies, International Movies","In the shadows of a corrupt government, a resistance movement fights for freedom."
s2076,Movie,Blue Moon,Zack Snyder,"Brad Pitt, Cate Blanchett",India,2017-05-06,2001,PG,89 min,Cult Movies,A comedian's rise to fame is complicated by dark secrets from the past.
s2077,TV Show,Better Call Saul S7,Unknown,"Priyanka Chopra, Aamir Khan, Meryl Streep, Chris Evans",United States,2019-02-19,2016,R,6 Seasons,TV Mysteries,A comedian's rise to fame is complicated by dark secrets from the past.
s2078,Movie,Desi Romance,Denis Villeneuve,"Kim Go-eun, Park Seo-jun, Alia Bhatt, Chris Evans",United States,2015-11-09,2006,TV-MA,176 min,Cult Movies,Behind every great fortune lies a great crime in this riveting saga.
s2079,TV Show,My Name S2 S3,Unknown,"Allu Arjun, Vidya Balan, Vijay, Aamir Khan, Rajinikanth",United States,2016-04-18,2003,G,1 Season,"TV Thrillers, TV Dramas, Romantic TV Shows","When love meets destiny, nothing will ever be the same again."
s2080,Movie,Ocean's Secret,Jordan Peele,"Ranveer Singh, Brad Pitt",India,2021-11-25,2009,TV-PG,168 min,"Stand-Up Comedy, Action & Adventure",A young woman discovers her true identity and must choose between two worlds.
s2081,Movie,Hollow Man,Quentin Tarantino,"Kangana Ranaut, Cate Blanchett, Deepika Padukone, Song Kang-ho",India,2017-09-27,2006,PG,70 min,"Classic Movies, Faith & Spirituality, Stand-Up Comedy",A family torn apart by tragedy must find a way back to each other.
s2082,Movie,Operation Blackout,Christopher Nolan,"Kim Go-eun, Priyanka Chopra, Deepika Padukone",United Kingdom,2019-08-10,2010,TV-MA,95 min,"Thrillers, Animated Movies",Three strangers are brought together by fate in a life-changing adventure.
s2083,Movie,Kingdom Returns,Bong Joon-ho,"Salman Khan, Kangana Ranaut, Priyanka Chopra",Canada,2016-02-06,2013,NC-17,114 min,"Comedies, Documentaries","In the shadows of a corrupt government, a resistance movement fights for freedom."
s2084,Movie,The Awakening,Zack Snyder,"Chris Evans, Ranveer Singh, Shah Rukh Khan, Cate Blanchett",Turkey,2017-08-11,2010,R,123 min,"Horror Movies, Comedies","In the shadows of a corrupt government, a resistance movement fights for freedom."
s2085,TV Show,Fauda S5 S2,Unknown,"Deepika Padukone, Shah Rukh Khan, Kim Go-eun, Scarlett Johansson",Argentina,2021-11-14,2017,TV-Y7,4 Seasons,"Crime TV Shows, TV Mysteries, Stand-Up Comedy","In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s2086,Movie,Lost in Translation,Greta Gerwig,"Park Seo-jun, Robert Downey Jr",Canada,2020-10-07,2005,UR,116 min,Sci-Fi & Fantasy,"In the shadows of a corrupt government, a resistance movement fights for freedom."
s2087,Movie,Desi Romance 4,Greta Gerwig,"Ajith, Vidya Balan, Vijay, Chris Evans",Egypt,2021-07-11,2015,TV-MA,126 min,"Animated Movies, Romantic Movies, Horror Movies",A family torn apart by tragedy must find a way back to each other.
s2088,Movie,Operation Blackout,Quentin Tarantino,"Allu Arjun, Brad Pitt, Cate Blanchett, Ajith, Ranveer Singh",Nigeria,2020-11-11,2003,TV-PG,88 min,"Comedies, Animated Movies, Dramas","In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s2089,Movie,Chennai Express 2,Greta Gerwig,"Rajinikanth, Chris Evans",United States,2019-04-07,2009,R,116 min,"Sci-Fi & Fantasy, Faith & Spirituality, International Movies",An extraordinary journey through time and space that will change everything you know.
s2090,Movie,The Dark Side,Rajkumar Hirani,"Vijay, Jennifer Lawrence, Tom Hanks, Natalie Portman",Australia,2015-01-19,2017,TV-MA,85 min,"Children & Family Movies, Sci-Fi & Fantasy",Three strangers are brought together by fate in a life-changing adventure.
s2091,TV Show,Sacred Games S3,Unknown,"Shah Rukh Khan, Jung Ho-yeon, Ajith, Brad Pitt, Natalie Portman",United States,2021-03-11,2019,PG-13,6 Seasons,TV Action & Adventure,An estranged father and daughter reconnect on an unexpected road trip.
s2092,TV Show,Breathe Returns,Patty Jenkins,"Robert Downey Jr, Ranveer Singh, Deepika Padukone, Natalie Portman",United Kingdom,2018-06-02,2011,TV-PG,4 Seasons,"Anime Series, Sports TV, Spirituality",A gripping tale of survival and redemption in a world gone mad.
s2093,Movie,The Last Stand 4,Priyadarshan,"Rajinikanth, Robert Downey Jr",Spain,2019-04-08,2020,PG-13,145 min,Independent Movies,"When old enemies become allies, the fate of the world hangs in the balance."
s2094,TV Show,The Family Man S4,David Fincher,"Scarlett Johansson, Vijay, Song Kang-ho, Prabhas, Jennifer Lawrence",Colombia,2021-06-27,2004,UR,3 Seasons,"TV Action & Adventure, TV Horror, Stand-Up Comedy",A gripping tale of survival and redemption in a world gone mad.
s2095,TV Show,Twenty Five Twenty One S2,Peter Jackson,"Park Seo-jun, Shah Rukh Khan, Ranbir Kapoor",Germany,2020-06-14,2004,TV-14,6 Seasons,Stand-Up Comedy,A family torn apart by tragedy must find a way back to each other.
s2096,Movie,Black Mirror,Martin Scorsese,"Song Kang-ho, Ajith, Jung Ho-yeon, Salman Khan, Deepika Padukone",Japan,2019-01-24,2003,PG,147 min,International Movies,A gripping tale of survival and redemption in a world gone mad.
s2097,Movie,Killing Eve,Chloe Zhao,"Jung Ho-yeon, Alia Bhatt",United States,2018-01-02,2006,UR,133 min,"Independent Movies, Documentaries, Action & Adventure","Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s2098,TV Show,Juvenile Justice S2 S5,Ridley Scott,"Allu Arjun, Vidya Balan, Natalie Portman, Priyanka Chopra",Australia,2019-03-04,2003,TV-PG,4 Seasons,"Spirituality, TV Sci-Fi & Fantasy, Korean TV Shows",A comedian's rise to fame is complicated by dark secrets from the past.
s2099,Movie,The Maze,Anurag Kashyap,"Kangana Ranaut, Scarlett Johansson, Robert Downey Jr, Vijay",China,2020-02-19,2005,PG-13,115 min,Romantic Movies,"Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s2100,TV Show,Breaking Bad Continues S5,Zoya Akhtar,"Scarlett Johansson, Aamir Khan, Ranbir Kapoor",India,2018-08-24,2008,TV-MA,6 Seasons,"Kids' TV, Romantic TV Shows, TV Action & Adventure","Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s2101,Movie,Dangerous Game,Steven Spielberg,"Ajith, Ranbir Kapoor, Brad Pitt, Ranveer Singh, Natalie Portman",Colombia,2017-08-15,2019,R,180 min,"Sports Movies, Animated Movies, Romantic Movies","In a small town, everyone has something to hide â and someone is watching."
s2102,Movie,Ocean's Secret,Chloe Zhao,"Rajinikanth, Deepika Padukone, Leonardo DiCaprio, Scarlett Johansson, Priyanka Chopra",Nigeria,2021-02-20,2006,PG,118 min,"International Movies, Thrillers",The future of humanity rests in the hands of an unlikely hero.
s2103,TV Show,Elite S8,Unknown,"Vidya Balan, Tom Hanks, Scarlett Johansson, Meryl Streep, Allu Arjun",United States,2020-02-08,2017,TV-Y7,2 Seasons,TV Mysteries,"Crime, politics, and power intertwine in this explosive thriller."
s2104,Movie,Dark Waters 5,Tim Burton,"Meryl Streep, Chris Evans, Jung Ho-yeon",India,2018-12-06,2001,PG-13,156 min,"Faith & Spirituality, Classic Movies","Love, loss, and the power of human connection in trying times."
s2105,TV Show,La Casa de Papel S6,Unknown,"Robert Downey Jr, Vidya Balan, Park Seo-jun",Brazil,2016-05-24,2011,PG-13,2 Seasons,"TV Comedies, Docuseries, Sports TV",An estranged father and daughter reconnect on an unexpected road trip.
s2106,Movie,Beyond the Stars,J.J. Abrams,"Chris Evans, Kim Go-eun, Lee Min-ho, Shah Rukh Khan, Song Kang-ho",United States,2020-05-22,2014,R,167 min,"Comedies, Sports Movies, Cult Movies",Behind every great fortune lies a great crime in this riveting saga.
s2107,TV Show,Money Heist Returns S2,James Cameron,"Lee Min-ho, Priyanka Chopra",Brazil,2016-05-21,2010,PG-13,2 Seasons,"TV Dramas, Spirituality, TV Mysteries",Behind every great fortune lies a great crime in this riveting saga.
s2108,Movie,Operation Blackout 3,Priyadarshan,"Leonardo DiCaprio, Aamir Khan, Kangana Ranaut, Brad Pitt, Ranveer Singh",United States,2021-04-13,2018,TV-14,117 min,"Stand-Up Comedy, International Movies","Passion, betrayal, and revenge collide in this thrilling drama."
s2109,Movie,The Perfect Storm,Steven Spielberg,"Alia Bhatt, Robert Downey Jr, Kim Go-eun, Jung Ho-yeon, Song Kang-ho",Canada,2015-09-18,2010,R,121 min,"Children & Family Movies, Sci-Fi & Fantasy, Faith & Spirituality","Love, loss, and the power of human connection in trying times."
s2110,Movie,The Last Stand 2,Christopher Nolan,"Priyanka Chopra, Park Seo-jun, Ranbir Kapoor, Rajinikanth",Turkey,2018-05-20,2006,R,177 min,"Horror Movies, Thrillers, Action & Adventure",A family torn apart by tragedy must find a way back to each other.
s2111,Movie,Dark Waters,Anurag Kashyap,"Kangana Ranaut, Kim Go-eun, Prabhas, Deepika Padukone, Tom Hanks",Egypt,2021-11-19,2007,R,111 min,Cult Movies,"When old enemies become allies, the fate of the world hangs in the balance."
s2112,Movie,The Secret Garden,Rajkumar Hirani,"Aamir Khan, Park Seo-jun, Tom Hanks, Jennifer Lawrence, Natalie Portman",India,2015-11-03,2013,R,157 min,Independent Movies,"Passion, betrayal, and revenge collide in this thrilling drama."
s2113,Movie,Kingdom Returns 4,Bong Joon-ho,"Leonardo DiCaprio, Shah Rukh Khan, Lee Min-ho, Deepika Padukone, Jung Ho-yeon",United States,2020-05-26,2012,TV-14,159 min,Horror Movies,"In the shadows of a corrupt government, a resistance movement fights for freedom."
s2114,Movie,The Dark Side,Shankar,"Rajinikanth, Natalie Portman",United States,2017-04-09,2012,R,77 min,"Sports Movies, Children & Family Movies, Classic Movies","When love meets destiny, nothing will ever be the same again."
s2115,Movie,Black Mirror,S.S. Rajamouli,"Lee Min-ho, Vidya Balan, Ranveer Singh",Indonesia,2015-01-15,2018,UR,115 min,Independent Movies,An extraordinary journey through time and space that will change everything you know.
s2116,Movie,Fire and Ice,Anurag Kashyap,"Ajith, Leonardo DiCaprio",United States,2016-03-10,2020,PG-13,113 min,"Dramas, Independent Movies",A chef's obsession with perfection leads to unexpected discoveries about life.
s2117,Movie,La Casa del Fuego 5,Alfonso Cuaron,"Ranveer Singh, Ajith",Egypt,2017-05-04,2006,PG-13,95 min,"Independent Movies, Stand-Up Comedy",A gripping tale of survival and redemption in a world gone mad.
s2118,Movie,Fatal Attraction,Jordan Peele,"Chris Evans, Kim Go-eun",Canada,2021-06-18,2003,NC-17,148 min,Stand-Up Comedy,Behind every great fortune lies a great crime in this riveting saga.
s2119,Movie,The Experiment,Wes Anderson,"Ajith, Song Kang-ho, Jennifer Lawrence",South Korea,2016-02-27,2018,TV-MA,152 min,"Thrillers, Animated Movies, Documentaries",An estranged father and daughter reconnect on an unexpected road trip.
s2120,Movie,Dark Waters,Steven Spielberg,"Shah Rukh Khan, Rajinikanth, Salman Khan, Tom Hanks",China,2017-12-23,2012,TV-MA,144 min,Thrillers,"When old enemies become allies, the fate of the world hangs in the balance."
s2121,Movie,Black Mirror,Christopher Nolan,"Jung Ho-yeon, Leonardo DiCaprio",Thailand,2015-02-15,2009,TV-MA,89 min,Cult Movies,"When old enemies become allies, the fate of the world hangs in the balance."
s2122,Movie,White Noise 5,Peter Jackson,"Kangana Ranaut, Jennifer Lawrence, Alia Bhatt, Salman Khan",Australia,2016-08-06,2019,PG-13,154 min,"Music & Musicals, Sports Movies","Based on true events, this story will shock and inspire in equal measure."
s2123,Movie,El Camino 2,Alfonso Cuaron,"Lee Min-ho, Chris Evans",United States,2016-12-04,2017,TV-14,82 min,Romantic Movies,"When love meets destiny, nothing will ever be the same again."
s2124,Movie,Narcos: Brazil,Steven Spielberg,"Robert Downey Jr, Jung Ho-yeon, Kim Go-eun, Alia Bhatt",Nigeria,2016-05-06,2017,R,161 min,Horror Movies,The future of humanity rests in the hands of an unlikely hero.
s2125,Movie,The Awakening,Peter Jackson,"Jung Ho-yeon, Salman Khan, Prabhas, Meryl Streep, Rajinikanth",United States,2016-06-08,2008,PG-13,138 min,"Music & Musicals, Comedies",Three strangers are brought together by fate in a life-changing adventure.
s2126,TV Show,Twenty Five Twenty One,Jordan Peele,"Prabhas, Lee Min-ho, Allu Arjun",Brazil,2021-09-16,2020,TV-14,4 Seasons,"TV Sci-Fi & Fantasy, Romantic TV Shows, Korean TV Shows","When love meets destiny, nothing will ever be the same again."
s2127,TV Show,Elite S8 S2,Unknown,"Leonardo DiCaprio, Song Kang-ho, Jennifer Lawrence, Jung Ho-yeon",Australia,2015-04-27,2006,TV-14,7 Seasons,"TV Dramas, Crime TV Shows","Based on true events, this story will shock and inspire in equal measure."
s2128,TV Show,Typewriter,Martin Scorsese,"Brad Pitt, Leonardo DiCaprio, Cate Blanchett, Scarlett Johansson",India,2015-07-24,2021,UR,5 Seasons,"TV Action & Adventure, Sports TV, TV Comedies",Behind every great fortune lies a great crime in this riveting saga.
s2129,TV Show,The Crown S7 S4,Denis Villeneuve,"Song Kang-ho, Alia Bhatt",United States,2019-10-07,2012,TV-14,6 Seasons,"TV Comedies, Stand-Up Comedy, Nature & Science TV",A comedian's rise to fame is complicated by dark secrets from the past.
s2130,Movie,Hollow Man 2,Alfonso Cuaron,"Prabhas, Kim Go-eun, Meryl Streep",India,2018-11-08,2002,TV-G,147 min,"Sci-Fi & Fantasy, Dramas","In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s2131,TV Show,Hit & Run S2 S3,Anurag Kashyap,"Chris Evans, Meryl Streep, Jennifer Lawrence",Australia,2020-01-12,2000,TV-MA,7 Seasons,"Crime TV Shows, Romantic TV Shows, Sports TV","Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s2132,Movie,Bollywood Nights,Ram Gopal Varma,"Vidya Balan, Jennifer Lawrence, Allu Arjun, Kangana Ranaut",Spain,2018-04-26,2011,TV-Y,134 min,"International Movies, Horror Movies","In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s2133,Movie,The Clone 4,Ram Gopal Varma,"Salman Khan, Kangana Ranaut, Rajinikanth, Jung Ho-yeon",United States,2017-12-12,2008,TV-14,90 min,"Sports Movies, Faith & Spirituality",A family torn apart by tragedy must find a way back to each other.
s2134,Movie,Hellbound 3,Rajkumar Hirani,"Ajith, Chris Evans",Spain,2017-05-04,2018,R,154 min,"Stand-Up Comedy, Thrillers, Cult Movies",A gripping tale of survival and redemption in a world gone mad.
s2135,TV Show,Elite S8,Unknown,"Park Seo-jun, Song Kang-ho, Lee Min-ho",Canada,2018-06-24,2019,G,7 Seasons,"Crime TV Shows, British TV Shows","In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s2136,TV Show,Breaking Bad Continues,Martin Scorsese,"Meryl Streep, Brad Pitt, Priyanka Chopra",United Kingdom,2020-08-27,2016,TV-MA,4 Seasons,TV Action & Adventure,"Passion, betrayal, and revenge collide in this thrilling drama."
s2137,Movie,Desi Romance 2,Martin Scorsese,"Natalie Portman, Salman Khan",Philippines,2021-09-27,2019,TV-14,142 min,Stand-Up Comedy,"When old enemies become allies, the fate of the world hangs in the balance."
s2138,TV Show,Hit & Run S2 S4,Mani Ratnam,"Salman Khan, Kim Go-eun",United States,2020-06-19,2013,R,7 Seasons,"TV Action & Adventure, TV Dramas","In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s2139,Movie,The Heist 3,Denis Villeneuve,"Kim Go-eun, Shah Rukh Khan",South Africa,2019-07-06,2007,PG,125 min,"Sports Movies, Children & Family Movies, Action & Adventure",A gripping tale of survival and redemption in a world gone mad.
s2140,Movie,Hellbound 2,Greta Gerwig,"Meryl Streep, Vijay",United Kingdom,2019-06-23,2002,TV-14,75 min,Dramas,A chef's obsession with perfection leads to unexpected discoveries about life.
s2141,Movie,Eternal Flame,Alfonso Cuaron,"Alia Bhatt, Salman Khan",Canada,2016-09-09,2013,PG,151 min,"Classic Movies, Music & Musicals, Romantic Movies","Passion, betrayal, and revenge collide in this thrilling drama."
s2142,Movie,The Promise,Chloe Zhao,"Park Seo-jun, Lee Min-ho, Shah Rukh Khan, Tom Hanks, Allu Arjun",United States,2015-05-07,2020,R,133 min,"Romantic Movies, Faith & Spirituality","When old enemies become allies, the fate of the world hangs in the balance."
s2143,Movie,Fire and Ice,Zack Snyder,"Salman Khan, Park Seo-jun, Aamir Khan, Song Kang-ho",United States,2021-07-01,2002,G,107 min,Romantic Movies,A family torn apart by tragedy must find a way back to each other.
s2144,Movie,The Hunt,Zoya Akhtar,"Vidya Balan, Jennifer Lawrence, Priyanka Chopra, Aamir Khan, Ajith",France,2016-11-22,2004,TV-14,146 min,"International Movies, Music & Musicals",The future of humanity rests in the hands of an unlikely hero.
s2145,Movie,The Maze,Imtiaz Ali,"Vijay, Ranveer Singh",China,2019-09-19,2017,TV-Y7,140 min,"Classic Movies, International Movies",Behind every great fortune lies a great crime in this riveting saga.
s2146,TV Show,Alchemy of Souls S3,J.J. Abrams,"Priyanka Chopra, Song Kang-ho",United States,2019-02-18,2018,R,4 Seasons,"TV Comedies, International TV Shows, British TV Shows",A chef's obsession with perfection leads to unexpected discoveries about life.
s2147,TV Show,The Crown S7,Chloe Zhao,"Chris Evans, Ajith, Ranveer Singh, Cate Blanchett",Colombia,2021-02-21,2014,TV-MA,2 Seasons,"Reality TV, Nature & Science TV","In a small town, everyone has something to hide â and someone is watching."
s2148,Movie,The Maze 5,Imtiaz Ali,"Ajith, Allu Arjun, Aamir Khan, Meryl Streep",Spain,2021-02-12,2015,TV-MA,135 min,"Romantic Movies, Thrillers","In a small town, everyone has something to hide â and someone is watching."
s2149,Movie,The Chosen One 3,David Fincher,"Kim Go-eun, Brad Pitt, Jung Ho-yeon, Jennifer Lawrence",South Korea,2021-04-19,2005,TV-Y,156 min,"Sports Movies, Children & Family Movies, Action & Adventure",A comedian's rise to fame is complicated by dark secrets from the past.
s2150,Movie,Fatal Attraction,Zack Snyder,"Shah Rukh Khan, Priyanka Chopra, Aamir Khan, Ajith, Natalie Portman",Egypt,2015-06-07,2014,TV-PG,105 min,Comedies,"Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s2151,Movie,Mumbai Diaries 4,Imtiaz Ali,"Allu Arjun, Chris Evans, Brad Pitt",India,2021-01-15,2016,TV-14,156 min,"Music & Musicals, Faith & Spirituality",A chef's obsession with perfection leads to unexpected discoveries about life.
s2152,Movie,Pyaar Ka Saaya 3,S.S. Rajamouli,"Rajinikanth, Lee Min-ho",United States,2015-08-25,2004,TV-14,71 min,"Action & Adventure, Animated Movies",Behind every great fortune lies a great crime in this riveting saga.
s2153,Movie,Midnight Run 4,Peter Jackson,"Vijay, Natalie Portman",India,2018-09-23,2000,TV-MA,105 min,Action & Adventure,"When old enemies become allies, the fate of the world hangs in the balance."
s2154,TV Show,My Name S2,Alfonso Cuaron,"Priyanka Chopra, Cate Blanchett, Rajinikanth, Jennifer Lawrence",India,2018-01-23,2008,TV-PG,4 Seasons,"TV Dramas, Reality TV",A gripping tale of survival and redemption in a world gone mad.
s2155,Movie,Dark Waters,Imtiaz Ali,"Meryl Streep, Leonardo DiCaprio",India,2021-01-23,2009,TV-14,98 min,Music & Musicals,"In the shadows of a corrupt government, a resistance movement fights for freedom."
s2156,Movie,Eternal Flame 5,Imtiaz Ali,"Allu Arjun, Kim Go-eun, Brad Pitt, Kangana Ranaut, Song Kang-ho",China,2015-04-21,2001,R,99 min,"Thrillers, Music & Musicals, Cult Movies","Based on true events, this story will shock and inspire in equal measure."
s2157,Movie,Shadow Games,Chloe Zhao,"Jennifer Lawrence, Natalie Portman, Shah Rukh Khan",India,2019-02-04,2021,PG-13,81 min,"International Movies, Animated Movies, Sci-Fi & Fantasy",The future of humanity rests in the hands of an unlikely hero.
s2158,Movie,Beyond the Stars 4,Rajkumar Hirani,"Jung Ho-yeon, Scarlett Johansson, Deepika Padukone, Ranveer Singh, Song Kang-ho",United States,2018-06-20,2002,TV-MA,130 min,Action & Adventure,"In the shadows of a corrupt government, a resistance movement fights for freedom."
s2159,Movie,The Chosen One 5,Alfonso Cuaron,"Ajith, Jung Ho-yeon, Priyanka Chopra",India,2018-11-16,2009,PG,174 min,"Sports Movies, Romantic Movies, Independent Movies",The future of humanity rests in the hands of an unlikely hero.
s2160,Movie,Beyond the Stars 3,James Cameron,"Salman Khan, Jung Ho-yeon",India,2015-11-03,2003,TV-PG,73 min,"Horror Movies, Action & Adventure, Independent Movies",A gripping tale of survival and redemption in a world gone mad.
s2161,TV Show,Selection Day 2,Chloe Zhao,"Aamir Khan, Song Kang-ho, Scarlett Johansson",Philippines,2016-02-22,2009,R,6 Seasons,"Stand-Up Comedy, Anime Series","Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s2162,Movie,Dangerous Game,Martin Scorsese,"Rajinikanth, Cate Blanchett, Deepika Padukone, Jung Ho-yeon",United Kingdom,2020-06-22,2019,TV-PG,148 min,"Children & Family Movies, Horror Movies",A comedian's rise to fame is complicated by dark secrets from the past.
s2163,Movie,The Clone,Mani Ratnam,"Chris Evans, Tom Hanks, Natalie Portman, Rajinikanth",Nigeria,2017-09-05,2012,TV-G,162 min,"Stand-Up Comedy, Comedies, Thrillers","Love, loss, and the power of human connection in trying times."
s2164,Movie,Operation Blackout,James Cameron,"Tom Hanks, Scarlett Johansson, Alia Bhatt",India,2016-06-17,2001,TV-14,155 min,"Sports Movies, Documentaries, Action & Adventure",A young woman discovers her true identity and must choose between two worlds.
s2165,Movie,Lupin Returns 4,David Fincher,"Vijay, Allu Arjun, Ranveer Singh, Salman Khan, Vidya Balan",Australia,2020-08-26,2006,R,170 min,"Horror Movies, Stand-Up Comedy","Passion, betrayal, and revenge collide in this thrilling drama."
s2166,Movie,Chennai Express 2 5,Ryan Coogler,"Brad Pitt, Jennifer Lawrence, Rajinikanth, Lee Min-ho, Vidya Balan",United Kingdom,2021-10-08,2001,R,106 min,Comedies,A comedian's rise to fame is complicated by dark secrets from the past.
s2167,Movie,Desert Rose,Shankar,"Robert Downey Jr, Jennifer Lawrence, Alia Bhatt",Canada,2020-11-15,2011,TV-MA,172 min,Classic Movies,Three strangers are brought together by fate in a life-changing adventure.
s2168,Movie,Squid Game: The Movie 4,Priyadarshan,"Prabhas, Song Kang-ho, Robert Downey Jr, Shah Rukh Khan",South Korea,2016-02-01,2008,PG,90 min,"Children & Family Movies, Stand-Up Comedy",An extraordinary journey through time and space that will change everything you know.
s2169,TV Show,Sacred Games,Chloe Zhao,"Priyanka Chopra, Jung Ho-yeon, Prabhas",Turkey,2018-01-15,2018,PG-13,2 Seasons,"Reality TV, Romantic TV Shows","When old enemies become allies, the fate of the world hangs in the balance."
s2170,Movie,Midnight Run 2,James Cameron,"Scarlett Johansson, Aamir Khan, Prabhas",Thailand,2020-11-23,2018,R,156 min,"Cult Movies, Faith & Spirituality, Children & Family Movies","Love, loss, and the power of human connection in trying times."
s2171,Movie,Blue Moon,Tim Burton,"Allu Arjun, Lee Min-ho, Meryl Streep",Canada,2021-08-19,2008,TV-PG,162 min,"Sports Movies, Animated Movies","Based on true events, this story will shock and inspire in equal measure."
s2172,Movie,Chennai Express 2 5,Zoya Akhtar,"Leonardo DiCaprio, Natalie Portman",Italy,2020-02-16,2009,TV-14,180 min,"Horror Movies, Music & Musicals, Thrillers",A chef's obsession with perfection leads to unexpected discoveries about life.
s2173,Movie,Fire and Ice 4,Priyadarshan,"Leonardo DiCaprio, Tom Hanks",South Korea,2016-07-28,2021,TV-MA,130 min,"Thrillers, Music & Musicals",A comedian's rise to fame is complicated by dark secrets from the past.
